DocType: Stock Warehouse,Address,地址
DocType: Stock Batch No,All,所有
DocType: Stock Batch No,Amended From,修订源
DocType: Stock Item Attribute,Attribute,
DocType: Stock Item AttributeValue,Attribute Name,
DocType: Stock Batch No,Attributes,
DocType: Stock Item,Barcode,
DocType: Stock Item,Batch Attribute,
DocType: Stock Batch No,Batch ID,
DocType: Stock Delivery OrderItem,Batch No,
DocType: Stock Item,Brand,品牌
DocType: Stock Entry,Buying,
DocType: Stock Item History,Cell Station,
DocType: Stock Delivery Order,Cloud Company,Cloud 公司
DocType: Stock Delivery Order,Company,公司
DocType: Stock Warehouse,Contact,联系信息
DocType: Stock Order,Customer,
DocType: Stock Item,Default Supplier,
DocType: Stock Item,Default Unit of Measure,
DocType: Stock Item,Default Warehouse,
DocType: Stock Entry,Delivery Node No,
apps/stock/stock/stock/doctype/stock_delivery_order/stock_delivery_order.py +64,Delivery Order approved!,
DocType: Stock Batch No,Description,描述
DocType: Stock Entry,Edit Posting Time,
DocType: Stock Item,Enabled,启用
DocType: Stock Batch No,End of Time,
DocType: Stock Item Group,Group Name,组名称
DocType: Stock Item,Has Batch No,
DocType: Stock Item,Has Serial No,
DocType: Stock Item History,IN,
DocType: Stock Item,ITEM-,
DocType: Stock Item,Image,图像
DocType: Stock Item History,InOut,
DocType: Stock Order,Information,信息
DocType: Stock Item,Inventory,
DocType: Stock Delivery OrderItem,Item,产品
DocType: Stock Batch No,Item Code,
DocType: Stock Item,Item Group,
DocType: Stock Delivery Order,Item List,
DocType: Stock EntryItem,Item Name,产品名称
DocType: Stock EntryItem,Item Type,
DocType: Stock Delivery Order,Items,
DocType: Stock Item,Maintain Stock,
DocType: Stock Entry,Manufacture,
DocType: Stock Entry,Material Transfer,
DocType: Stock Delivery OrderItem,Name,名称
DocType: Stock Order,ORD-,
DocType: Stock Item History,OUT,
DocType: Stock Entry,Order ID,
DocType: Stock Order,Order Name,
DocType: Stock Delivery Order,Order Source ID,
DocType: Stock Delivery Order,Order Source Type,
DocType: Stock Delivery Order,Planned Date,
DocType: Stock Item History,Position,
DocType: Stock Item History,Position Type,
DocType: Stock Entry,Posting Time,
DocType: Stock Entry,Purpose,
DocType: Stock Delivery OrderItem,Qty,
DocType: Stock Delivery OrderItem,Remark,
DocType: Stock Delivery Order,SDO-,
DocType: Stock Entry,STE-,
DocType: Stock Entry,Sales Return,
DocType: Stock Order,Selling,
DocType: Stock Item,Serial Attribute,
apps/stock/stock/stock/doctype/stock_entry/stock_entry.py +49,Serial NO is not validate! {0},
apps/stock/stock/stock/doctype/stock_delivery_order/stock_delivery_order.py +102,Serial NO {0} is in Warehouse {1},
apps/stock/stock/stock/doctype/stock_entry/stock_entry.py +81,Serial NO {0} is not in Warehouse {1},
apps/stock/stock/stock/doctype/stock_entry/stock_entry.py +51,Serial NO {0} is not in Warehouse {1} but in {2},
DocType: Stock Delivery OrderItem,Serial No,
DocType: Stock Delivery Order,Series,
DocType: Stock Entry,Source Warehouse,
apps/stock/stock/stock/doctype/stock_entry/stock_entry.py +40,Source Warehouse is required,
DocType: Stock Batch No,Stock,
DocType: Stock Batch No,Stock Batch No,
DocType: Stock Delivery Order,Stock Delivery Order,
DocType: Stock Delivery OrderItem,Stock Delivery OrderItem,
DocType: Stock Entry,Stock Entry,
DocType: Stock EntryItem,Stock EntryItem,
DocType: Stock Item,Stock Item,
DocType: Stock Item Attribute,Stock Item Attribute,
DocType: Stock Item AttributeValue,Stock Item AttributeValue,
DocType: Stock Item Brand,Stock Item Brand,
DocType: Stock Item Group,Stock Item Group,
DocType: Stock Item History,Stock Item History,
DocType: Stock Item Type,Stock Item Type,
DocType: Stock Batch No,Stock Manager,
DocType: Stock Delivery Order,Stock Order,
DocType: Stock Item History,Stock Serial No,
DocType: Stock UOM,Stock UOM,
DocType: Stock Batch No,Stock User,
DocType: Stock Item History,Stock Warehouse,
DocType: Stock Batch No,Supplier,供应商
DocType: Stock Item,Supplier Details,
DocType: Stock Item History,System Manager,系统管理员
DocType: Stock Delivery Order,TKT-,
DocType: Stock Delivery Order,Tickets Ticket,工单
DocType: Stock Order,Type,类型
DocType: Stock Delivery OrderItem,UOM,
DocType: Stock UOM,Unit Name,
DocType: Stock Item AttributeValue,Value,值
apps/stock/stock/stock/doctype/stock_delivery_order/stock_delivery_order.py +55,Ware house is required!!,
DocType: Stock Delivery Order,Warehouse,仓库
DocType: Stock Warehouse,Warehouse Name,
DocType: Stock Item,Weight,
DocType: Stock Item,Weight UOM,
